Freq.	V(vc)/V(vin)	V(vin)/I(CB)	V(vc)/Ic(Q1)
1.41253754462276e+05	(4.55949929957728e+01dB,1.79053348379409e+02°)	(6.35175631998743e+01dB,1.35366853532069e+02°)	(7.41599149284859e+01dB,-1.80000000000000e+02°)
1.49623565609444e+05	(4.55947791804228e+01dB,1.78968981963067e+02°)	(6.32549053792315e+01dB,1.33796425444695e+02°)	(7.41599149284752e+01dB,-1.79999999999999e+02°)
1.58489319246112e+05	(4.55945372819036e+01dB,1.78881203288810e+02°)	(6.29779844946773e+01dB,1.32237197910659e+02°)	(7.41599149284351e+01dB,1.79999999999992e+02°)
1.67880401812256e+05	(4.55942640953505e+01dB,1.78789722388308e+02°)	(6.26869811402189e+01dB,1.30694728156643e+02°)	(7.41599149284879e+01dB,-1.80000000000000e+02°)
1.77827941003893e+05	(4.55939560020165e+01dB,1.78694237205052e+02°)	(6.23821642789381e+01dB,1.29174378784657e+02°)	(7.41599149284423e+01dB,1.79999999999989e+02°)
1.88364908948980e+05	(4.55936089215874e+01dB,1.78594432627915e+02°)	(6.20638845978093e+01dB,1.27681243216086e+02°)	(7.41599149284922e+01dB,-1.79999999999993e+02°)
1.99526231496888e+05	(4.55932182584581e+01dB,1.78489979487932e+02°)	(6.17325661073844e+01dB,1.26220081743157e+02°)	(7.41599149284727e+01dB,1.79999999999996e+02°)
2.11348903983665e+05	(4.55927788412796e+01dB,1.78380533516180e+02°)	(6.13886964099776e+01dB,1.24795270032025e+02°)	(7.41599149284523e+01dB,1.79999999999997e+02°)
2.23872113856834e+05	(4.55922848550033e+01dB,1.78265734260768e+02°)	(6.10328160968522e+01dB,1.23410761134119e+02°)	(7.41599149284533e+01dB,-1.79999999999996e+02°)
2.37137370566166e+05	(4.55917297645551e+01dB,1.78145203961043e+02°)	(6.06655077381612e+01dB,1.22070061282464e+02°)	(7.41599149284654e+01dB,-1.79999999999998e+02°)
2.51188643150958e+05	(4.55911062291706e+01dB,1.78018546377339e+02°)	(6.02873849006909e+01dB,1.20776219034324e+02°)	(7.41599149284917e+01dB,-1.79999999999998e+02°)
2.66072505979881e+05	(4.55904060063116e+01dB,1.77885345574780e+02°)	(5.98990815749293e+01dB,1.19531826724179e+02°)	(7.41599149284917e+01dB,-1.79999999999997e+02°)
2.81838293126446e+05	(4.55896198439575e+01dB,1.77745164659977e+02°)	(5.95012423255533e+01dB,1.18339032754433e+02°)	(7.41599149285025e+01dB,-1.79999999999983e+02°)
